,artist_uid,event_list,num_event,fav_venue,num_event_fav_venue,start_active_year,end_active_year,event_per_year,num_year_active
60,4199480,"[95014, 521154, 709785, 792948, 819381, 911516, 1133907, 1806270, 2130309, 2576198, 2809148, 2845213, 2914575, 3198866, 3713499, 3809182, 3940672, 4069642, 4189786, 4415365, 4717052, 5138786, 5692321, 6682477, 6958387, 7616590, 7848522, 7933287, 8348673, 8667194, 9052020, 9559719, 9595361, 10336107, 10373575, 10658923, 10932253, 11099420, 11568152, 12192824, 13483092, 13493084, 14907399, 15364437, 15588576, 15625890, 16104175, 16259208]",48,Gallery 1724,6,2007,2019,3.69,13
58,2420053,"[95014, 1014354, 1844447, 2104017, 2257651, 2787222, 2878780, 2915429, 3064134, 3079149, 3388354, 3665364, 3689307, 4445890, 5310414, 6176455, 7789372, 7948185, 8087862, 8823898, 9104064, 9200609, 9720286, 9783054, 11049883, 11345655, 12161562, 12836294, 12871949, 13076547, 15178943, 15712217, 15734336, 15828711, 16195320]",35,Art League Houston,4,2007,2017,3.18,11
171,5309938,"[194616, 203277, 508972, 1025367, 1042980, 1212143, 2747117, 2798004, 3288277, 4153242, 4450767, 4911559, 5110290, 5550695, 5570138, 5951953, 7832531, 8500841, 8531246, 9944666, 10757524, 10954796, 11635740, 11973600, 13621969, 13737041, 15126141, 15163643, 15516063, 16436342, 16480250]",31,Optical Project,7,2007,2015,3.44,9
52,170349,"[88961, 535862, 1157840, 1298583, 1426629, 1451301, 2907008, 3079293, 3909831, 4293656, 4866318, 5223420, 5737636, 5768619, 6046664, 6404004, 7981974, 8383185, 9193831, 10901854, 12881625, 12968065, 13290436, 13426197, 13621969, 14326793, 14732210, 15116160, 15760908]",29,Project Row Houses,8,2012,2019,3.62,8
420,5604161,"[453265, 570398, 830057, 1025367, 1133907, 2582170, 2878780, 4741973, 5114960, 5285525, 6518778, 6611748, 7160046, 8867195, 9307256, 9720286, 9940919, 10055772, 10222146, 10396735, 10814528, 11007689, 11939982, 13661207, 13798247, 13913762, 15126141, 16003834, 16058137]",29,The Joanna Gallery,5,2007,2019,2.23,13
2492,12850344,"[2991243, 3830099, 4034830, 4352403, 4644062, 4842772, 5020228, 5094319, 6573502, 7730694, 7959006, 9647100, 10638868, 11808706, 12495212, 12836294, 13615589, 13711229, 13886341, 14367159, 14378923, 14441863, 14598388, 14746924, 14939563, 15828711, 16455143]",27,Gallery Sonja Roesch,4,2007,2018,2.25,12
493,11318400,"[535862, 891313, 1298583, 1483194, 1521188, 2737164, 2907008, 5208856, 6070647, 6602612, 7572645, 7764900, 9941858, 10136333, 10303293, 10586974, 10754454, 10901854, 11699141, 12355031, 13040693, 13976775, 14042612, 15126141, 15760908]",25,Hooks-Epstein Galleries,4,2009,2016,3.12,8
43,11364310,"[78381, 229504, 535862, 1298583, 1472608, 1521188, 2201650, 2735546, 2907008, 3582421, 3912705, 5710288, 5946690, 8236676, 9128170, 9720286, 11362614, 11874743, 12038565, 13975453, 14301285, 14326793, 14331667, 14599088]",24,Peveto,3,2007,2019,1.85,13
543,14924476,"[570398, 1025367, 1046141, 2681714, 4741973, 4811473, 5114960, 6380524, 8003073, 9095339, 9181393, 9973644, 11543859, 11611510, 11670011, 11973600, 12570366, 13798247, 14406742, 14498298, 15126141, 15725171, 16503350]",23,The Joannex,4,2007,2017,2.09,11
246,9258618,"[310956, 556662, 698913, 1439349, 2384852, 2576198, 3492142, 5149354, 5241783, 5674962, 5973631, 6445156, 6631448, 6631599, 6731100, 7888025, 8902391, 9834023, 13076547, 13735347, 14483235, 14726744, 15740602]",23,Lawndale Art Center,5,2011,2019,2.56,9
903,4014364,"[1002017, 2597344, 2809148, 2833821, 3516471, 4062585, 6339659, 6402693, 6480598, 7322003, 10136333, 10199751, 10545027, 10954645, 10981552, 11626696, 11959560, 14149582, 14826172, 15734336, 16131520, 16720522]",22,Art Gallery (LSC Kingwood),6,2007,2016,2.2,10
256,12176023,"[333856, 342695, 2202947, 2227139, 4269029, 5656762, 6603474, 8370326, 9579612, 9795380, 9932601, 9947466, 10941541, 11305927, 12624880, 14409513, 14739338, 14904675, 15241696, 15705471, 16123721, 16598814]",22,Contemporary Arts Museum Houston,4,2008,2017,2.2,10
1711,2962323,"[1962292, 2384852, 2845213, 3064134, 3792531, 4842772, 5856098, 6575903, 7784816, 7925560, 9932601, 10577521, 10638868, 11051205, 12871949, 14042724, 14144251, 14373468, 14784308, 14814831, 15572656, 16455143]",22,Gallery Sonja Roesch,4,2008,2017,2.2,10
345,10518509,"[377066, 837262, 2130309, 2384852, 2545962, 2681714, 4153242, 6682477, 7751597, 7946875, 9389364, 11385478, 12435359, 12971196, 13479695, 14498298, 14709874, 14784308, 15725171, 16036455, 16473020, 16632462]",22,Art Palace,4,2008,2018,2.0,11
500,3979934,"[543861, 819381, 2193303, 2377976, 2964982, 3553291, 4830891, 5000798, 5369024, 5811812, 7192800, 7755060, 7764900, 8851509, 9649049, 10326204, 11447202, 11715762, 12528350, 13122290, 15664494, 16618782]",22,Lawndale Art Center,3,2010,2019,2.2,10
2619,7637688,"[3169823, 3429875, 3452237, 4173623, 4274635, 4904959, 5477065, 7461879, 7593043, 7950569, 8348673, 8378077, 11042896, 11676141, 12201196, 12452455, 12870884, 13603386, 13707527, 15419641, 16276131]",21,Anya Tish Gallery,9,2009,2019,1.91,11
943,4927874,"[1042980, 2798004, 2915429, 4454552, 4830891, 5319161, 5350659, 6042109, 6184040, 9003193, 10136333, 10941541, 11973600, 13122290, 13270183, 13672734, 14622636, 14859641, 15153410, 16062031]",20,McClain Gallery,5,2007,2018,1.67,12
1914,1296752,"[2264075, 2384852, 2799571, 3613475, 4828834, 6203394, 6267488, 6682477, 6928426, 7512033, 8133466, 8988242, 10247175, 10449138, 10779880, 12098567, 12192824, 13062641, 13112778, 13737266]",20,BOX 13 ArtSpace,6,2008,2014,2.86,7
199,9776245,"[230333, 436122, 493927, 745892, 2322562, 3452237, 5778597, 5956521, 6036784, 7928633, 8416327, 9782656, 10835490, 10918566, 10981552, 11144975, 13707527, 14366238, 16003834]",19,Anya Tish Gallery,12,2007,2019,1.46,13
988,7956530,"[1074810, 1524160, 1573248, 1871198, 2032458, 2044699, 5332129, 5971238, 7444692, 8078390, 8214932, 9113495, 10572132, 11568509, 11688930, 14269793, 15314045, 15413750, 15990651]",19,d. m. allison,6,2008,2019,1.58,12
1437,1370857,"[1584465, 2050287, 2201650, 2471354, 3016337, 3069760, 4748188, 6776506, 8344014, 8845289, 9720284, 10136333, 10655566, 12881625, 13792763, 15609506, 16187968, 16303392]",18,DiverseWorks,7,2011,2017,2.57,7
218,8396430,"[276569, 857706, 1110197, 1329569, 2809148, 3862370, 3946804, 4355359, 4899286, 4982214, 5922335, 6718445, 9895635, 10136333, 10609104, 10981552, 13191448, 14145431]",18,Wade Wilson Art,9,2007,2019,1.38,13
1852,793844,"[2143030, 2389098, 3996707, 4369864, 5094319, 5366447, 6184040, 6524124, 6682477, 7160046, 8260217, 11191631, 13101263, 14277598, 14322988, 14612705, 14928689, 16331332]",18,4th Floor Projects Gallery (UH),2,2010,2019,1.8,10
129,7592347,"[138566, 219915, 602607, 1783710, 2143030, 2284185, 2924061, 4154594, 7948185, 10811858, 11307020, 11738372, 12066668, 12501827, 13062641, 14322988, 15576875, 15740602]",18,4th Floor Projects Gallery (UH),2,2013,2018,3.0,6
709,7989505,"[779288, 1286275, 1888145, 2140980, 2598104, 4048400, 4436995, 6524622, 9390508, 11278779, 12023777, 12231013, 14105678, 15386552, 16300864, 16350700, 16692085]",17,Zoya Tommy Contemporary,5,2010,2018,1.89,9
541,10292340,"[570398, 936629, 4811473, 5076163, 6184040, 6536038, 7160046, 8003073, 10396735, 11519519, 11706915, 11735699, 11973600, 12865809, 14099981, 15126141, 15740602]",17,Domy Books,2,2009,2018,1.7,10
70,12657551,"[96758, 535862, 819381, 1732131, 1781911, 2907008, 5710288, 5870081, 7100462, 8075685, 9128170, 9411814, 10198818, 10247175, 14331667, 15671475, 16658098]",17,Art League Houston,5,2008,2018,1.55,11
1673,15435349,"[1902274, 2799571, 5094319, 5445137, 5453785, 6184040, 6783181, 7061273, 7204233, 7715037, 9113495, 9786141, 10928117, 11425495, 12023408, 15634084, 15723825]",17,Moody Gallery,4,2008,2017,1.7,10
2292,3142084,"[2716646, 4050994, 6184040, 7160046, 7616590, 8260217, 9681436, 10136333, 11349242, 11528868, 11650993, 12920734, 14277598, 14860050, 15008104, 15035618, 16518157]",17,Alabama Song,3,2011,2018,2.12,8
1642,5920623,"[1888145, 2140980, 3131304, 6636770, 8104965, 8298895, 8427349, 8922014, 9390508, 9829406, 12126462, 12231013, 12317280, 12691796, 13583000, 16336745, 16733808]",17,New Gallery/Thom Andriola,8,2008,2016,1.89,9
993,4420468,"[1075773, 3897649, 4441076, 5586646, 6385416, 7060968, 7572645, 10631097, 10914646, 11255609, 11264620, 12198479, 12968065, 13569482, 14042612, 16554399, 16634461]",17,Hiram Butler Gallery,5,2007,2019,1.31,13
1658,14615165,"[1888145, 2140980, 3131304, 3329550, 6636770, 6894469, 7131947, 7548546, 7963674, 8303495, 9390508, 10487656, 11110262, 12317280, 13081397, 14423136, 14907683]",17,Foltz Fine Art,12,2009,2018,1.7,10
421,8902533,"[453265, 570398, 1025367, 2336137, 2389098, 3051594, 4630060, 6133217, 6184040, 9281493, 10396735, 10699850, 11568152, 11973600, 13841801, 15126141, 15785480]",17,Bluffer Gallery,3,2009,2013,3.4,5
946,11203505,"[1043480, 1132249, 1871198, 2269116, 2856790, 2905656, 4922898, 5905525, 6405589, 8078390, 10781809, 11051362, 12473707, 12638741, 12725647, 13755351, 16036477]",17,Deborah Colton Gallery,4,2008,2019,1.42,12
3595,53685,"[4928966, 5905525, 6352243, 6659432, 7116844, 7175467, 7433015, 7891893, 7920156, 9003193, 10426901, 11739121, 14144251, 15153410, 15828711, 16444554]",16,Devin Borden Gallery,3,2007,2015,1.78,9
