,event_uid,venue_uid,start_date,end_date,artist_list,num_artist,venue,coordinates,address,city,zip,url
0,4575,10137684,2013-05-31,2013-09-08,[16459675],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
1,97991,10137684,2014-01-31,2014-03-30,[11823178],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
2,200413,10137684,2016-01-16,2016-01-16,[11531409],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
3,213905,10137684,2016-05-27,2016-08-27,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
4,377066,10137684,2011-06-11,2011-09-03,"[392229, 5726239, 9381627, 9589556, 10518136, 10518509, 12221957, 14850917, 14859060]",9,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
5,378816,10137684,2017-06-16,2017-09-02,[1440086],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
6,467143,10137684,2016-05-27,2016-09-03,"[16140472, 16496678]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
7,808082,10137684,2019-05-31,2019-09-01,[15350731],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
8,834135,10137684,2010-01-15,2010-03-21,"[737107, 3914626]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
9,971721,10137684,2007-10-06,2008-01-20,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
10,1081964,10137684,2008-05-23,2008-08-17,"[7155379, 10505215]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
11,1112466,10137684,2011-02-05,2011-04-03,"[4653434, 11047539]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
12,1265766,10137684,2007-06-30,2007-08-26,[7692012],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
13,1268926,10137684,2007-03-31,2007-06-17,[564836],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
14,1280422,10137684,2013-10-04,2013-01-19,"[12672712, 15247354]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
15,1320252,10137684,2010-04-08,2010-05-23,"[4894788, 13634332]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
16,1415071,10137684,2018-02-09,2018-05-13,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
17,1437379,10137684,2017-02-03,2017-05-28,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
18,1564455,10137684,2017-11-17,2018-01-21,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
19,1582585,10137684,2014-09-26,2014-01-11,[2872910],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
20,1802429,10137684,2009-07-18,2009-09-13,[5199767],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
21,2140568,10137684,2016-02-05,2016-05-08,"[2929112, 8614719]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
22,2140983,10137684,2014-02-07,2014-05-11,[2766343],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
23,2343857,10137684,2012-09-29,2012-12-30,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
24,2451834,10137684,2015-05-29,2015-08-29,"[1871432, 4663845, 7014107, 9125939, 11328538, 11401516, 11460904, 14406665, 15461328]",9,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
25,2566104,10137684,2016-05-27,2016-09-03,[204608],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
26,2618873,10137684,2015-02-06,2015-05-10,"[3220941, 15609518]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
27,2668384,10137684,2018-08-11,2018-08-11,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
28,2956534,10137684,2011-01-21,2011-05-28,"[8075901, 15317119]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
29,2962098,10137684,2007-03-18,2007-03-18,[9746109],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
30,3000586,10137684,2013-11-15,2014-01-26,"[5874102, 8893759, 12714588, 13922588]",4,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
31,3032494,10137684,2012-06-16,2012-08-11,[10263450],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
32,3042580,10137684,2017-09-22,2018-01-07,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
33,3072105,10137684,2019-08-23,2019-10-20,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
34,3099841,10137684,2011-10-01,2012-01-08,"[211529, 9381627]",2,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
35,3364278,10137684,2017-06-16,2017-09-02,[1467805],1,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
36,3424370,10137684,2008-02-23,2008-05-04,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
37,3451970,10137684,2010-08-05,2010-09-19,0,0,Houston Center for Contemporary Craft,"29.730715804878,-95.3858012682927",4848 Main Street,Houston,77002.0,www.crafthouston.org
